timestamp,asset,side,quantity,entry_price,exit_price,profit_loss,balance
2025-03-01 09:30:00,TSLA,BUY,287.7,1373.436404081,1380.5528762149,2047.409032922982,12047.409032922982
2025-03-01 09:30:20,AAPL,BUY,89.0,630.4633775043,638.1450938828,683.6727576865025,12731.081790609485
2025-03-01 09:31:20,AAPL,BUY,266.5,297.4842813719,301.2426092883,1001.5943897205979,13732.676180330083
2025-03-01 09:31:40,MSFT,BUY,292.5,169.9872806057,171.0309137469,305.2626938010054,14037.938874131089
2025-03-01 09:32:00,NFLX,SELL,103.1,2930.3049787214,2919.4413373416,1120.0414262573697,15157.980300388459
2025-03-01 09:32:20,MSFT,SELL,181.2,1134.4236260624,1130.1969473759,765.8741779938015,15923.85447838226
2025-03-01 09:32:30,TSLA,SELL,122.8,1568.6130633832,1555.9031423723,1560.7783001385153,17484.632778520776
2025-03-01 09:33:00,TSLA,BUY,141.6,1093.2918050197,1096.0403172875,389.1893371205015,17873.822115641276
2025-03-01 09:33:30,AAPL,SELL,246.3,1650.6379463379,1651.5296632748,-219.62988155844812,17654.192234082828
2025-03-01 09:33:40,NVDA,SELL,61.6,2114.2095341309,2090.1118045387,1484.4201428795084,19138.612376962337
2025-03-01 09:33:50,AMZN,BUY,92.6,2165.6524964649,2155.2462990385,-963.6138816846411,18174.998495277698
2025-03-01 09:34:50,MSFT,SELL,160.0,2426.3922901413,2420.7301824167,905.9372359359986,19080.935731213696
2025-03-01 09:35:20,TSLA,BUY,173.8,514.9299984722,518.3184228749,588.9081611892447,19669.84389240294
2025-03-01 09:35:30,TSLA,SELL,180.0,1159.817658704,1148.490010514,2038.9766741999983,21708.82056660294
2025-03-01 09:35:40,TSLA,BUY,96.2,1958.8149497672,1970.3871047815,1113.241312375665,22822.061878978602
2025-03-01 09:36:40,AMZN,SELL,99.0,400.8745069765,401.4240843784,-54.40816278809672,22767.653716190507
2025-03-01 09:37:00,NVDA,BUY,131.3,253.7727822958,250.7711131824,-394.11915458941985,22373.53456160109
2025-03-01 09:37:30,NFLX,BUY,139.2,2917.7075311166,2900.905172172,-2338.8883650882844,20034.646196512804
2025-03-01 09:37:50,NFLX,BUY,185.7,1055.1773329371,1057.9130614049,508.0247764704734,20542.670972983276
2025-03-01 09:38:10,AMZN,SELL,296.7,353.4721885112,352.3832614999,323.0846442527018,20865.75561723598
2025-03-01 09:38:30,NVDA,BUY,99.7,2725.6322156086,2748.113219711,2241.356109009302,23107.111726245283
2025-03-01 09:38:50,AAPL,SELL,68.5,2722.3191787322,2742.6011125646,-1389.3124675194156,21717.799258725867
2025-03-01 09:39:50,AAPL,BUY,79.0,1318.7834770505,1322.2783949696,276.0985156088891,21993.897774334757
2025-03-01 09:40:20,NFLX,SELL,65.9,1225.053284499,1234.6140425963,-630.0539586120614,21363.843815722696
2025-03-01 09:41:20,NFLX,SELL,131.3,1157.3398938333,1164.8628422255,-987.7631238958405,20376.080691826854
2025-03-01 09:41:40,TSLA,BUY,168.1,3116.5233247595,3150.3373542236,5684.138352915177,26060.21904474203
2025-03-01 09:42:10,MSFT,SELL,228.3,506.6204361902,508.0851593846,-334.39630528151866,25725.82273946051
2025-03-01 09:43:10,TSLA,BUY,173.4,2721.2884118455,2754.7719405281,5806.043873562854,31531.86661302336
2025-03-01 09:44:10,AAPL,BUY,156.9,1877.2916198988,1878.5989217527,205.1156608769212,31736.98227390028
2025-03-01 09:44:30,TSLA,SELL,177.1,1168.8103356595,1166.0144726062,495.1473467394444,32232.129620639724
2025-03-01 09:44:40,AMZN,SELL,112.3,3185.7260113487,3223.3913353515,-4229.815885514433,28002.31373512529
2025-03-01 09:45:10,MSFT,BUY,69.2,877.9137626715,874.2737902123,-251.88609417663676,27750.427640948656
2025-03-01 09:45:20,MSFT,SELL,90.3,1085.1549399068,1093.101764947,-717.5983011300494,27032.829339818607
2025-03-01 09:45:50,NVDA,SELL,96.6,2832.485061457,2839.9345223134,-719.6179187282436,26313.211421090364
2025-03-01 09:46:10,AAPL,SELL,184.8,3134.7005948659,3117.0947848579,3253.553689478388,29566.76511056875
2025-03-01 09:46:30,AAPL,SELL,156.8,874.9795526426,872.685971215,359.63356784767603,29926.398678416426
2025-03-01 09:46:50,NVDA,BUY,265.2,2881.2502041365,2881.3680693204,31.25784677027841,29957.656525186703
2025-03-01 09:47:00,NVDA,SELL,105.5,1519.1974107058,1516.346337381,300.7882357663923,30258.444760953094
2025-03-01 09:47:10,NVDA,SELL,134.4,507.5422489345,506.887374432,88.01513313599717,30346.45989408909
2025-03-01 09:47:30,TSLA,BUY,225.8,1863.8881139274,1869.912958643,1360.4099367824826,31706.869830871572
2025-03-01 09:47:40,AMZN,BUY,292.9,1336.3406480896,1315.8275923345,-6008.27403066883,25698.59580020274
2025-03-01 09:48:00,NFLX,SELL,59.2,1068.4576808834,1068.2310492524,13.416592555195166,25712.012392757933
2025-03-01 09:48:20,MSFT,SELL,175.7,2172.5187355316,2169.1754731319,587.4112036272991,26299.423596385233
2025-03-01 09:48:40,MSFT,BUY,172.4,592.6425651102,594.0722434339,246.47654300586825,26545.900139391102
2025-03-01 09:49:10,NFLX,SELL,110.5,3451.211543976,3482.7645302974,-3486.604988514712,23059.29515087639
2025-03-01 09:50:10,MSFT,SELL,232.1,907.9676495742,913.4294965208,-1267.6946763058513,21791.60047457054
2025-03-01 09:50:20,TSLA,BUY,208.1,1350.4626512455,1356.8028799398,1319.4015912838497,23111.00206585439
2025-03-01 09:50:50,MSFT,BUY,258.8,406.985218185,414.1170826713,1845.7265290544408,24956.728594908833
2025-03-01 09:51:10,AAPL,BUY,96.6,1190.6522209039,1191.6014218572,91.69281208878755,25048.42140699762
2025-03-01 09:51:30,AAPL,SELL,54.1,2403.7188302638,2394.0371189807,523.7805804157077,25572.201987413326
2025-03-01 09:51:40,TSLA,SELL,106.6,1841.1163982176,1825.4697999197,1667.9273785561186,27240.129365969446
2025-03-01 09:52:40,MSFT,BUY,146.7,2449.1883095484,2458.4676459052,1361.278643542535,28601.40800951198
2025-03-01 09:53:40,AMZN,SELL,84.4,3284.8819617049,3264.2988048134,1737.2184416426035,30338.62645115458
2025-03-01 09:54:00,AAPL,SELL,269.3,3243.9583021471,3235.6002691127,2250.818296163865,32589.44474731845
2025-03-01 09:54:30,AMZN,SELL,215.0,977.0015342315,978.7793638722,-382.2333727504798,32207.211374567967
2025-03-01 09:54:40,NFLX,BUY,110.5,1900.8119664104,1920.6890271236,2196.415208808609,34403.62658337658
2025-03-01 09:54:50,NFLX,SELL,274.3,416.5494105401,417.4154427381,-237.5526319114076,34166.07395146517
2025-03-01 09:55:00,TSLA,BUY,137.3,1252.7012895656,1260.5364137231,1075.7625468247331,35241.83649828991
2025-03-01 09:56:00,AMZN,BUY,274.3,2568.2493081588,2573.3959328756,1411.7191598182492,36653.555658108155
2025-03-01 09:56:30,TSLA,BUY,71.0,2282.9075969246,2289.2348709198,449.2364536591931,37102.79211176735
2025-03-01 09:57:30,MSFT,BUY,274.6,649.5376279217,651.0605207146,418.1863609303231,37520.97847269767
2025-03-01 09:57:40,MSFT,BUY,90.2,117.2093850771,116.5395555537,-60.418623010679745,37460.55984968699
2025-03-01 09:57:50,TSLA,BUY,223.0,1965.6948838464,1946.9609703299,-4177.662714179505,33282.89713550749
2025-03-01 09:58:50,AMZN,BUY,109.3,2521.4093525816,2534.6528758559,1447.5170938809965,34730.41422938849
2025-03-01 09:59:50,AAPL,BUY,236.6,1206.3589737415,1215.6563932503,2199.769455782074,36930.18368517056
2025-03-01 10:00:50,AMZN,SELL,192.1,2335.8838338212,2343.5975001743,-1481.79530643052,35448.38837874004
2025-03-01 10:01:50,AMZN,SELL,141.9,418.4942106155,415.5161575031,422.5857366495607,35870.9741153896
2025-03-01 10:02:10,NVDA,BUY,148.3,3408.2358861583,3385.9920950422,-3298.7542225176385,32572.219892871966
2025-03-01 10:02:20,NFLX,BUY,207.8,3132.9582876022,3133.2841626815,67.71684147858232,32639.936734350547
2025-03-01 10:02:50,AAPL,SELL,173.1,2061.4732077296,2085.4445801823,-4149.444571562379,28490.49216278817
2025-03-01 10:03:10,MSFT,BUY,230.6,763.8261585134,757.2823528896,-1509.0015768482629,26981.490585939908
2025-03-01 10:03:30,MSFT,BUY,288.5,3297.5591867999,3310.287037562,3671.9849448658306,30653.47553080574
2025-03-01 10:03:50,AAPL,BUY,142.5,3210.5389267495,3222.6937092719,1732.0565094419612,32385.5320402477
2025-03-01 10:04:00,AAPL,SELL,263.3,3376.3079221035,3374.3407794254,517.9486671437609,32903.48070739146
2025-03-01 10:04:30,NVDA,BUY,146.3,1101.1262330366,1097.1928784193,-575.4497805109876,32328.030926880478
2025-03-01 10:05:00,NVDA,SELL,189.2,676.2753387327,680.9086298105,-876.6186719197565,31451.41225496072
2025-03-01 10:05:20,NFLX,SELL,224.0,3282.9262321467,3259.7131220444,5199.736662915224,36651.148917875944
2025-03-01 10:06:20,AAPL,BUY,297.5,2191.0245707772,2193.7190946514,801.6208525745174,37452.76977045046
2025-03-01 10:07:20,MSFT,BUY,179.6,576.2856518042,577.9351535815,296.2505192030754,37749.020289653534
2025-03-01 10:07:30,TSLA,SELL,225.6,2469.8535193839,2480.9339644724,-2499.748411965555,35249.27187768798
2025-03-01 10:07:50,NVDA,BUY,123.4,1322.2699141472,1327.7180392556,672.2986383765398,35921.570516064516
2025-03-01 10:08:10,NVDA,BUY,278.3,3048.0458831724,3060.5742283924,3486.6384747260336,39408.20899079055
2025-03-01 10:09:10,MSFT,SELL,175.4,1838.5641561272,1846.9611067675,-1472.8251423086235,37935.38384848192
2025-03-01 10:09:20,MSFT,SELL,248.9,2486.6873826762,2509.2777566733,-5622.74408787818,32312.639760603743
2025-03-01 10:09:30,TSLA,SELL,134.5,3126.0181621797,3106.691236925,2599.4714467571766,34912.11120736092
2025-03-01 10:09:40,AAPL,BUY,59.0,2066.152479387,2062.2380525751,-230.95118190208996,34681.16002545883
2025-03-01 10:10:10,MSFT,BUY,185.7,1683.0332616504,1692.2732514627,1715.8661081441303,36397.02613360296
2025-03-01 10:10:40,NFLX,SELL,59.3,203.7008497928,201.0727570453,155.84589992675032,36552.87203352971
2025-03-01 10:11:40,AAPL,BUY,140.0,2896.8419062428,2898.3315786672,208.5541394159918,36761.42617294571
2025-03-01 10:12:40,NVDA,BUY,104.0,2717.9780805353,2694.5437870727,-2437.1665201103715,34324.25965283533
