timestamp,time_diff_s,trade_rate_per_min,trades_last_15m,trades_last_60m,loss_streak,loss_win_ratio_20,hold_asymmetry_20,size_after_loss_ratio_20,notional_after_loss_ratio_20,qty_volatility_20,pnl_volatility_20,tail_loss_share_50,trader
2025-03-01 09:00:00,60.0,1.0,11.5,15.5,1.0333333333333334,1.0219834779403645,1.2183913112870302,0.7811759284799727,0.6856602617910733,0.7438718198597221,32.666826196237636,0.36432938242676866,calm
2025-03-01 10:00:00,60.0,1.0,15.0,52.75,1.1166666666666667,1.9806223528947267,1.1134318093013758,0.905706650007506,0.850990041612236,0.5653222343954691,15.250965520861792,0.332857843780866,calm
2025-03-01 11:00:00,60.0,1.0,15.0,60.0,1.2833333333333334,1.9446706848223316,1.7569598783992852,1.085161862007557,0.7636276705274797,0.5718719417365636,20.13210486667892,0.3745475578879664,calm
2025-03-01 12:00:00,60.0,1.0,15.0,60.0,1.6666666666666667,0.8977438583998353,1.151342425315051,1.138251844028865,1.5720090819782986,0.6045859002674878,35.13697154761808,0.39275590234295366,calm
2025-03-01 13:00:00,60.0,1.0,15.0,60.0,0.5166666666666667,0.877138328950183,1.9979071294124562,0.8868470120040474,0.9142482165385943,0.7026914686156933,5.481272261272171,0.39146627765447856,calm
2025-03-01 14:00:00,60.0,1.0,15.0,60.0,1.1333333333333333,1.0490654786928149,1.5401604348816773,1.1014405230329665,0.7717291244501315,0.5934200271214247,13.048330413909945,0.39518064228515176,calm
2025-03-01 15:00:00,60.0,1.0,15.0,60.0,0.6333333333333333,1.581924487455614,0.692200017028327,1.0014070586309145,0.9802743933228825,0.6813160305638094,37.40076991485527,0.39822681034589025,calm
2025-03-01 16:00:00,60.0,1.0,15.0,60.0,1.05,1.1498922167798986,1.8020238060221996,0.9602571122006748,1.076967666206365,0.5220732497393366,47.25477784362251,0.42039932097588867,calm
2025-03-01 17:00:00,60.0,1.0,15.0,60.0,0.8,1.5963000529590552,1.1952141468655704,0.8373711340271537,0.8311818529771976,0.6138431297629332,6.908594788718621,0.31414516287541916,calm
2025-03-01 18:00:00,60.0,1.0,15.0,60.0,1.0666666666666667,1.186882690081059,1.0286453121621923,1.1734648256480222,1.1301964512861489,0.5605957108361207,20.07109551934326,0.3996975145678358,calm
2025-03-01 19:00:00,60.0,1.0,15.0,60.0,1.1833333333333333,0.935498509697378,0.7997507119733733,0.9204340327444248,0.8139955829016104,0.6618991890363112,70.77738867122183,0.5138206764412682,calm
2025-03-01 20:00:00,60.0,1.0,15.0,60.0,0.4,1.4409635917672121,2.2587928663078993,0.8798409912268337,0.8862945465400116,0.5605055833097883,160.26327462025333,0.323072241848286,calm
2025-03-01 21:00:00,60.0,1.0,15.0,60.0,0.9166666666666666,0.7785612739049846,0.747409250353155,1.037633585596369,1.2331852272119002,0.613616385155476,13.577226737279476,0.39029868603796714,calm
2025-03-01 22:00:00,60.0,1.0,15.0,60.0,0.8666666666666667,0.9510448753070918,1.4906489212333633,1.2370445368918466,1.064825239695579,0.5889842729141852,14.090758228340777,0.3749081468983511,calm
2025-03-01 23:00:00,60.0,1.0,15.0,60.0,0.5166666666666667,1.1427002427897117,0.8379837102528246,1.2482111666616234,1.2498884965836614,0.5890588346945831,26.18292311172505,0.3135370918853727,calm
2025-03-02 00:00:00,60.0,1.0,15.0,60.0,0.7833333333333333,1.0675886071214054,0.5247744123696586,0.9644130074125254,1.0040229895143329,0.7015818214580626,127.04327714948421,0.3791836825827392,calm
2025-03-02 01:00:00,60.0,1.0,15.0,60.0,0.6833333333333333,0.8174264267624803,0.30469119712452053,1.3294047681513221,4.377403459269835,1.1477873624572965,17.255342697047407,0.2832824953830481,calm
2025-03-02 02:00:00,60.0,1.0,15.0,60.0,0.9833333333333333,0.8041014322393691,0.9134946079837025,0.8526243300375802,0.7753604190545734,0.6233159629495663,19.516283814201724,0.3708638195448421,calm
2025-03-02 03:00:00,60.0,1.0,15.0,60.0,1.55,1.1367650503569824,1.085094447049005,1.071400480297256,1.0614846294673084,0.6289791302943163,29.546800750124348,0.4385456003608775,calm
